LightGBM weight,Seasonal naive weight,Validation WAPE
0.6000000000000001,0.3999999999999999,0.19010396460080625
0.55,0.44999999999999996,0.19014349391634833
0.65,0.35,0.19016550549341862
0.5,0.5,0.19028964080089575
0.7000000000000001,0.29999999999999993,0.19033900709394727
0.45,0.55,0.19055084091466576
0.75,0.25,0.19060038591722075
0.4,0.6,0.19091804057767342
0.8,0.19999999999999996,0.1909438569499803
0.35000000000000003,0.6499999999999999,0.19136567350338374
0.8500000000000001,0.1499999999999999,0.1913700806023133
0.9,0.09999999999999998,0.19189214203701876
0.30000000000000004,0.7,0.1919191647808695
0.9500000000000001,0.04999999999999993,0.19250268980087115
0.25,0.75,0.19256859365143833
1.0,0.0,0.19319456259830933
0.2,0.8,0.19332417512084865
0.15000000000000002,0.85,0.19417137859400857
0.1,0.9,0.1951057979049936
0.05,0.95,0.19616963087509118
0.0,1.0,0.19734958211470494
