Model,Training target,Evaluation target,RMSE,MAE,WAPE,sMAPE,WPE,N,Train rows used
Recovered naive x7,baseline_no_training,Recovered latent demand proxy,4.39486837387085,2.808015823364258,0.31486809253692627,0.3869951179232911,-0.019842250272631645,70000,0
Recovered seasonal naive 7-day,baseline_no_training,Recovered latent demand proxy,2.91129469871521,1.770378828048706,0.1985159069299698,0.22687991813073857,-0.06139123812317848,70000,0
Recovered rolling mean 14-day,baseline_no_training,Recovered latent demand proxy,3.1098861694335938,1.8367035388946533,0.20595301687717438,0.2268234454944078,-0.0806688666343689,70000,0
Observed-sales forecasting,target_next7_observed_daily,Recovered latent demand proxy,3.6749188899993896,2.177968740463257,0.24421972036361694,0.2754549008233425,-0.1787707805633545,70000,300000
Observed-sales forecasting,target_next7_observed_daily,Observed sales,3.264411687850952,1.7730447053909302,0.22062230110168457,0.24117737068580464,-0.08869225531816483,70000,300000
Recovered-demand forecasting,target_next7_recovered_daily,Recovered latent demand proxy,3.6160428524017334,1.8082468509674072,0.20276211202144623,0.21345006878268083,-0.07999380677938461,70000,300000
Recovered-demand forecasting,target_next7_recovered_daily,Observed sales,3.4819672107696533,1.7713121175765991,0.22040671110153198,0.24590672632245877,0.020919302478432655,70000,300000
Recovered seasonal-ML hybrid,seasonal_naive_plus_recovered_lightgbm_alpha_0.60,Recovered latent demand proxy,3.2106337547302246,1.7545303106307983,0.19673876464366913,0.2127344103595277,-0.07255274057388306,70000,300000
