series_id,observed_sales,recovered_demand,recovered_lost_demand,stockout_rate,stockout_rows,n_rows,Recovered lift over observed,Recovered share from imputation
12_408_834,77.700005,108.969185,31.269186,0.6089409722222222,1403,2304,0.4024348,0.2869544
12_325_90,61.260002,85.823265,24.563267,0.4674479166666667,1077,2304,0.40096745,0.28620756
5_16_834,81.0,113.43993,32.43993,0.5329861111111112,1228,2304,0.40049297,0.2859657
0_221_834,106.8,149.25603,42.456028,0.5147569444444444,1186,2304,0.39752835,0.284451
17_22_41,39.37,54.83751,15.46751,0.4396701388888889,1013,2304,0.39287555,0.28206077
14_69_834,55.800003,77.71438,21.914381,0.43359375,999,2304,0.39273083,0.28198618
16_607_259,40.7,56.66274,15.962739,0.4778645833333333,1101,2304,0.39220488,0.28171492
13_627_864,47.68,66.33608,18.65608,0.5230034722222222,1205,2304,0.39127684,0.28123578
16_491_834,80.6,112.04104,31.44104,0.5473090277777778,1261,2304,0.39008737,0.28062075
6_369_740,61.9,86.01903,24.119026,0.5763888888888888,1328,2304,0.389645,0.28039175
13_400_864,42.14,58.52991,16.389912,0.4939236111111111,1138,2304,0.38893953,0.28002626
0_169_129,66.3,91.878716,25.578714,0.5642361111111112,1300,2304,0.38580263,0.27839652
15_512_834,84.4,116.85906,32.459064,0.5308159722222222,1223,2304,0.38458607,0.2777625
6_52_822,45.39,62.834995,17.444996,0.5086805555555556,1172,2304,0.38433567,0.27763185
13_705_864,44.97,61.905903,16.935904,0.4965277777777778,1144,2304,0.37660447,0.27357495
13_798_73,47.9,65.8955,17.995502,0.4192708333333333,966,2304,0.37568897,0.27309152
16_485_129,60.5,82.851585,22.351582,0.5169270833333334,1191,2304,0.36944762,0.26977855
13_657_73,43.9,60.009415,16.109413,0.3776041666666667,870,2304,0.366957,0.26844808
0_19_834,105.6,143.81148,38.21148,0.5677083333333334,1308,2304,0.36185113,0.26570535
3_839_44,40.84,55.57952,14.739521,0.38671875,891,2304,0.36090893,0.26519698
0_167_90,80.21,109.11162,28.901619,0.4392361111111111,1012,2304,0.36032438,0.26488122
3_729_44,73.6,100.11388,26.513874,0.5499131944444444,1267,2304,0.36024287,0.26483715
12_269_834,100.0,135.90823,35.908237,0.5920138888888888,1364,2304,0.35908237,0.26420942
10_297_41,49.32,67.01614,17.69614,0.4240451388888889,977,2304,0.35880253,0.26405787
16_574_600,39.4,53.529346,14.129344,0.4518229166666667,1041,2304,0.35861278,0.2639551
16_486_600,41.4,56.234924,14.834925,0.4713541666666667,1086,2304,0.3583315,0.2638027
3_837_254,83.57,113.47187,29.901869,0.5143229166666666,1185,2304,0.35780627,0.2635179
12_230_768,45.7,62.04078,16.340776,0.4175347222222222,962,2304,0.3575662,0.26338768
0_62_379,60.0,81.40238,21.402384,0.5329861111111112,1228,2304,0.3567064,0.26292086
0_872_90,98.11,133.09094,34.98095,0.4956597222222222,1142,2304,0.35654825,0.26283494
7_826_254,42.56,57.729366,15.169367,0.4444444444444444,1024,2304,0.35642308,0.2627669
0_147_129,104.8,141.99495,37.19495,0.6011284722222222,1385,2304,0.35491362,0.26194558
13_702_371,51.600002,69.81669,18.216688,0.4448784722222222,1025,2304,0.35303658,0.2609217
0_149_834,131.3,177.26791,45.96792,0.6189236111111112,1426,2304,0.35009837,0.25931326
3_796_157,74.158005,100.05934,25.901339,0.5169270833333334,1191,2304,0.3492723,0.25885978
15_9_129,65.0,87.49326,22.49326,0.5104166666666666,1176,2304,0.34605014,0.25708562
0_246_129,72.8,97.96174,25.161737,0.4787326388888889,1103,2304,0.34562826,0.25685272
0_684_650,42.9,57.719833,14.819832,0.4262152777777778,982,2304,0.3454506,0.25675458
3_716_316,39.15,52.603477,13.453477,0.3771701388888889,869,2304,0.34363925,0.25575262
14_77_63,41.7,56.027378,14.327376,0.2925347222222222,674,2304,0.34358215,0.25572097
12_205_129,71.8,96.40115,24.601154,0.4917534722222222,1133,2304,0.34263444,0.25519565
16_292_834,88.1,118.25907,30.159071,0.4756944444444444,1096,2304,0.3423277,0.25502545
0_654_754,40.0,53.658813,13.658814,0.2764756944444444,637,2304,0.34147036,0.25454932
0_300_373,42.600002,57.093475,14.493474,0.4283854166666667,987,2304,0.3402224,0.25385517
3_720_157,72.642,97.3375,24.695498,0.5499131944444444,1267,2304,0.3399617,0.25371
0_129_129,89.4,119.65719,30.257185,0.5260416666666666,1212,2304,0.33844724,0.25286558
13_661_73,43.100002,57.672,14.572001,0.3654513888888889,842,2304,0.33809745,0.2526703
13_702_32,42.9,57.399445,14.499446,0.4223090277777778,973,2304,0.33798242,0.25260603
0_860_129,76.8,102.73073,25.930725,0.4761284722222222,1097,2304,0.33763963,0.2524145
0_556_362,41.99,56.16251,14.17251,0.4388020833333333,1011,2304,0.33752108,0.25234824
12_275_129,77.4,103.484795,26.084793,0.4739583333333333,1092,2304,0.33701283,0.25206402
5_6_41,58.940002,78.65968,19.719679,0.4318576388888889,995,2304,0.33457208,0.25069615
3_878_460,40.65,54.21911,13.569109,0.38671875,891,2304,0.33380342,0.25026432
15_9_228,56.68,75.56711,18.887108,0.6063368055555556,1397,2304,0.3332235,0.2499382
3_782_316,46.16,61.48543,15.325433,0.3641493055555556,839,2304,0.33200678,0.24925308
16_545_822,39.72,52.904305,13.184305,0.4197048611111111,967,2304,0.33193114,0.24921045
0_596_821,44.11,58.733414,14.623415,0.5755208333333334,1326,2304,0.33152154,0.24897948
0_215_21,55.2,73.47369,18.273684,0.4075520833333333,939,2304,0.331045,0.24871059
0_57_834,146.90001,195.51144,48.611443,0.6866319444444444,1582,2304,0.33091518,0.24863732
0_167_41,62.7,83.41499,20.71499,0.4305555555555556,992,2304,0.33038262,0.24833654
11_601_381,40.4,53.735558,13.335557,0.3237847222222222,746,2304,0.33008802,0.24817006
3_717_92,56.27,74.76408,18.494074,0.4592013888888889,1058,2304,0.3286667,0.24736577
0_235_421,40.5,53.809574,13.309571,0.3138020833333333,723,2304,0.3286314,0.24734579
12_275_834,101.3,134.58871,33.288708,0.5798611111111112,1336,2304,0.32861507,0.24733655
3_784_129,63.300003,83.9517,20.651693,0.4552951388888889,1049,2304,0.32625106,0.24599494
3_889_44,66.700005,88.251205,21.551207,0.4796006944444444,1105,2304,0.32310653,0.24420297
0_593_362,41.600002,54.97558,13.375578,0.421875,972,2304,0.3215283,0.24330036
0_371_129,94.270004,124.565254,30.295248,0.5755208333333334,1326,2304,0.3213668,0.24320786
11_614_381,41.100002,54.305496,13.205496,0.3402777777777778,784,2304,0.32130158,0.24317051
13_680_73,45.0,59.41094,14.410935,0.3689236111111111,850,2304,0.320243,0.24256368
0_736_77,41.100002,54.249676,13.149675,0.3598090277777778,829,2304,0.31994343,0.24239178
0_562_6,52.8,69.65648,16.856478,0.3485243055555556,803,2304,0.31925148,0.2419944
13_694_73,52.2,68.85339,16.653395,0.390625,900,2304,0.31903055,0.24186745
0_371_834,130.0,171.42735,41.427353,0.6432291666666666,1482,2304,0.31867194,0.24166128
16_765_41,49.75,65.59294,15.8429365,0.33984375,783,2304,0.318451,0.24153417
11_617_600,43.3,57.058304,13.758304,0.4184027777777778,964,2304,0.31774375,0.2411271
0_194_259,46.5,61.25666,14.756659,0.3342013888888889,770,2304,0.3173475,0.24089885
16_561_452,43.2,56.895126,13.695125,0.4947916666666667,1140,2304,0.31701678,0.24070822
12_377_41,44.0,57.913773,13.913773,0.34375,792,2304,0.3162221,0.24024981
6_469_834,120.5,158.59138,38.091385,0.62890625,1449,2304,0.3161111,0.24018571
5_49_834,78.3,102.98557,24.685572,0.5021701388888888,1157,2304,0.3152691,0.23969932
3_878_302,52.18,68.60566,16.425655,0.4079861111111111,940,2304,0.31478834,0.2394213
3_723_607,40.530003,53.279774,12.749774,0.3541666666666667,816,2304,0.3145762,0.23929858
13_589_332,41.8,54.940926,13.1409235,0.4244791666666667,978,2304,0.31437618,0.23918279
13_702_462,46.940002,61.673172,14.733171,0.4236111111111111,976,2304,0.3138724,0.2388911
0_452_797,39.670002,52.083107,12.413106,0.2925347222222222,674,2304,0.31290913,0.23833267
3_855_750,51.8,67.993645,16.193645,0.4765625,1098,2304,0.31261864,0.2381641
12_376_834,143.0,187.63493,44.634937,0.6171875,1422,2304,0.31213242,0.23788181
12_252_600,42.8,56.15694,13.356941,0.4787326388888889,1103,2304,0.31207806,0.23785023
0_692_74,44.93,58.94469,14.014691,0.4826388888888889,1112,2304,0.3119228,0.23776002
0_548_129,71.700005,94.0354,22.335402,0.4401041666666667,1014,2304,0.31151184,0.2375212
0_104_797,39.9,52.294315,12.394314,0.3446180555555556,794,2304,0.31063443,0.23701073
7_71_45,43.170002,56.566105,13.396105,0.3454861111111111,796,2304,0.3103105,0.23682211
0_562_362,48.02,62.87894,14.858939,0.4622395833333333,1065,2304,0.3094323,0.23631026
0_790_834,125.700005,164.56178,38.861774,0.5902777777777778,1360,2304,0.30916288,0.2361531
12_218_129,66.8,87.42013,20.620123,0.4605034722222222,1061,2304,0.30868447,0.23587386
3_725_188,65.0,85.02052,20.020525,0.4756944444444444,1096,2304,0.30800807,0.23547873
0_298_379,64.4,84.1993,19.799303,0.4956597222222222,1142,2304,0.30744258,0.23514806
3_716_315,43.56,56.927097,13.367099,0.3567708333333333,822,2304,0.30686635,0.23481083
7_825_309,87.46,114.22871,26.768705,0.4826388888888889,1112,2304,0.30606797,0.23434307
0_850_21,51.25,66.91643,15.666426,0.4114583333333333,948,2304,0.30568635,0.23411928
0_713_379,74.200005,96.858376,22.658373,0.5234375,1206,2304,0.3053689,0.23393303
16_337_381,42.5,55.466873,12.966874,0.3498263888888889,806,2304,0.3051029,0.23377691
0_240_136,44.100002,57.519238,13.419235,0.3467881944444444,799,2304,0.30429104,0.23329996
0_343_642,49.850002,64.96398,15.113983,0.4210069444444444,970,2304,0.30318922,0.23265174
13_685_73,50.0,65.14191,15.141906,0.3728298611111111,859,2304,0.30283812,0.23244493
0_263_5,46.5,60.492786,13.992784,0.3315972222222222,764,2304,0.30092007,0.23131326
3_287_44,52.8,68.646614,15.846615,0.4131944444444444,952,2304,0.30012527,0.23084335
12_325_843,48.75,63.35675,14.60675,0.2738715277777778,631,2304,0.29962564,0.23054764
3_719_92,76.5,99.38103,22.881025,0.5225694444444444,1204,2304,0.29909837,0.23023535
0_305_834,122.3,158.7825,36.482502,0.5086805555555556,1172,2304,0.29830337,0.229764
17_896_6,42.2,54.78587,12.585867,0.2999131944444444,691,2304,0.29824328,0.22972834
0_166_77,56.5,73.31719,16.81719,0.4388020833333333,1011,2304,0.29764938,0.22937581
16_463_834,73.4,95.19771,21.797705,0.4223090277777778,973,2304,0.29697144,0.228973
