Model,RMSE,MAE,WAPE,sMAPE,AIC,BIC
AggregateSARIMAX,70.28140888235006,32.70219391964937,0.13352510247019966,0.1244212658111272,18261.084501370507,18288.941869614762
AggregateSeasonalNaive168,36.27445602416992,21.775161743164062,0.08890935033559799,0.10064831646308275,,
