Horizon,Model,Window start,Window end,RMSE,MAE,WAPE,sMAPE,N
1,LightGBM,2024-06-18,2024-06-24 23:00:00,0.09555147467854186,0.051226049639591466,1.0556269769848108,1.706266385831913,840000
1,LightGBM,2024-06-25,2024-07-01 23:00:00,0.09578399920589674,0.05147151957710142,1.0410109944195687,1.699356164265245,840000
1,SeasonalNaive168,2024-06-18,2024-06-24 23:00:00,0.1299734666649496,0.057663355952380965,1.1882820275051071,0.5922245918412851,840000
1,SeasonalNaive168,2024-06-25,2024-07-01 23:00:00,0.1345728666179104,0.05997089880952378,1.2129108586433033,0.601771863464885,840000
24,LightGBM,2024-06-18,2024-06-24 23:00:00,0.09870133944593437,0.052487553279346545,1.0679292298021918,1.7223671582812892,840000
24,LightGBM,2024-06-25,2024-07-01 23:00:00,0.09853521623145642,0.05259005354637586,1.0709795349516125,1.7166188935078324,840000
24,SeasonalNaive168,2024-06-18,2024-06-24 23:00:00,0.12980117677304265,0.05735417976190475,1.1669472321006222,0.5876503665993331,840000
24,SeasonalNaive168,2024-06-25,2024-07-01 23:00:00,0.13301603634972173,0.05895322142857144,1.2005634033780497,0.59499785298532,840000
