Model,Evaluation target,RMSE,MAE,WAPE,sMAPE,WPE,Residual mean,Residual std,Ljung-Box lag,Ljung-Box statistic,Ljung-Box p-value,Jarque-Bera statistic,Jarque-Bera p-value,N
Recovered naive x7,Recovered latent demand proxy,4.39486837387085,2.808015823364258,0.31486809253692627,0.3869951179232911,-0.019842250272631645,0.17695459723472595,4.39129114151001,7,10.172717994834851,0.17899516670871163,801199.2773044468,0.0,70000
Recovered seasonal naive 7-day,Recovered latent demand proxy,2.91129469871521,1.770378828048706,0.1985159069299698,0.22687991813073857,-0.06139123812317848,0.5474914312362671,2.8593592643737793,7,17.76850708189889,0.013059272206048468,1587685.0548590056,0.0,70000
Recovered rolling mean 14-day,Recovered latent demand proxy,3.1098861694335938,1.8367035388946533,0.20595301687717438,0.2268234454944078,-0.0806688666343689,0.7194106578826904,3.0255279541015625,7,29.29001810053373,0.00012808518880684167,3258332.969764335,0.0,70000
Observed-sales forecasting,Recovered latent demand proxy,3.6749188899993896,2.177968740463257,0.24421972036361694,0.2754549008233425,-0.1787707805633545,1.5942903757095337,3.311077117919922,7,17.84799406746321,0.012674973090884696,13917167.420769388,0.0,70000
Recovered-demand forecasting,Recovered latent demand proxy,3.6160428524017334,1.8082468509674072,0.20276211202144623,0.21345006878268083,-0.07999380677938461,0.7133904099464417,3.544973373413086,7,13.240216493084422,0.0664674094000574,101431412.98419537,0.0,70000
Recovered seasonal-ML hybrid,Recovered latent demand proxy,3.2106337547302246,1.7545303106307983,0.19673876464366913,0.2127344103595277,-0.07255274057388306,0.6470305323600769,3.1447622776031494,7,15.408409132630823,0.031106355382275352,28815389.262887638,0.0,70000
