Horizon,Model,Segment,RMSE,MAE,WAPE,sMAPE,N
1,LightGBM,non_stockout_period,0.10650802805254198,0.06094651600419952,0.9779426567937288,1.6195512030303583,1293347
1,LightGBM,overall,0.0956678075872946,0.051348784608346465,1.0482505740041923,1.7028112750485787,1680000
1,LightGBM,stockout_period,0.04267746759715696,0.019244553921833142,4.396979541058892,1.9813146472312564,386653
1,Naive,non_stockout_period,0.15134979917053515,0.07072046403633368,1.1347746027781473,0.688185635072855,1293347
1,Naive,overall,0.14142299436274078,0.060940204761904766,1.2440529042476351,0.5973168998243512,1680000
1,Naive,stockout_period,0.10138515685311328,0.0282254217605967,6.448920693261792,0.29336269249259317,386653
1,Ridge,non_stockout_period,0.11157254200742907,0.06163606462680633,0.9890070958493443,1.6464653031779533,1293347
1,Ridge,overall,0.10190545633957587,0.05457667331852095,1.114145730414809,1.723705949882189,1680000
1,Ridge,stockout_period,0.05900551360647172,0.030963142399591106,7.074432808932928,1.982074457802687,386653
1,SeasonalNaive168,non_stockout_period,0.14099245376023417,0.06687536987366885,1.073076546062331,0.6649424957949122,1293347
1,SeasonalNaive168,overall,0.13229315641155942,0.05881712738095236,1.2007117210002922,0.5969982276530851,1680000
1,SeasonalNaive168,stockout_period,0.09771972760784528,0.031862458069638666,7.279907699035037,0.3697259308690752,386653
1,SeasonalNaive24,non_stockout_period,0.14438722463129416,0.06781237285894662,1.0881116169560152,0.6660160801405551,1293347
1,SeasonalNaive24,overall,0.13674039694235346,0.06005688214285713,1.2260204727205786,0.5991226302103251,1680000
1,SeasonalNaive24,stockout_period,0.10727122084370866,0.034114911820159154,7.794546442985541,0.37536530054545014,386653
24,LightGBM,non_stockout_period,0.10687513720395493,0.05872762097561997,0.9386032823530972,1.642244183565585,1291783
24,LightGBM,overall,0.09861831281816129,0.05253880341286119,1.0694536950942974,1.7194930258945618,1680000
24,LightGBM,stockout_period,0.06387303323762017,0.031945657523646566,7.264479833444139,1.9765367444598259,388217
24,Naive,non_stockout_period,0.14479161894662618,0.06823742377783265,1.090591937374437,0.6682168303665423,1291783
24,Naive,overall,0.13503878340834075,0.05941629821428573,1.209448551288049,0.5943035805112026,1680000
24,Naive,stockout_period,0.0956782304137423,0.030064208934693745,6.836636226782023,0.34835896799325283,388217
24,Ridge,non_stockout_period,0.110790447287505,0.0629956208532263,1.0068157967995266,1.632471891509499,1291783
24,Ridge,overall,0.10252880999485994,0.05729589255318735,1.1662866305351032,1.71129510876414,1680000
24,Ridge,stockout_period,0.06817568536575162,0.03833017976212152,8.716327647603096,1.973577523122223,388217
24,SeasonalNaive168,non_stockout_period,0.14133988864871527,0.06700534996977042,1.0709005468304789,0.6663817134624688,1291783
24,SeasonalNaive168,overall,0.13141843747712328,0.05815370059523809,1.1837477434775459,0.5913241097923265,1680000
24,SeasonalNaive168,stockout_period,0.09091824235262012,0.02870004404753013,6.526423538094766,0.34157168668404675,388217
24,SeasonalNaive24,non_stockout_period,0.14479161894662618,0.06823742377783265,1.090591937374437,0.6682168303665423,1291783
24,SeasonalNaive24,overall,0.13503878340834075,0.05941629821428573,1.209448551288049,0.5943035805112026,1680000
24,SeasonalNaive24,stockout_period,0.0956782304137423,0.030064208934693745,6.836636226782023,0.34835896799325283,388217
