Model,Evaluation mode,Evaluation dates,RMSE,MAE,WAPE,sMAPE,WPE,Residual mean,Residual std,Ljung-Box lag,Ljung-Box statistic,Ljung-Box p-value,Jarque-Bera statistic,Jarque-Bera p-value,N,Aggregate residual points
Recovered naive x7,Non-overlapping 7-day targets,2024-06-11; 2024-06-18,4.670727252960205,2.948251485824585,0.33892717957496643,0.398017338837217,0.007954997010529041,-0.06919872760772705,4.670444011688232,1,2.0,0.15729920705028105,78583.86728076448,0.0,10000,2
Recovered seasonal naive 7-day,Non-overlapping 7-day targets,2024-06-11; 2024-06-18,2.8149678707122803,1.7140229940414429,0.19704188406467438,0.22712630593001795,-0.06619756668806076,0.5758377313613892,2.755580186843872,1,2.0,0.15729920705028105,259259.03718662084,0.0,10000,2
Recovered rolling mean 14-day,Non-overlapping 7-day targets,2024-06-11; 2024-06-18,3.0149917602539062,1.7821301221847534,0.20487138628959656,0.22503161328710158,-0.07384194433689117,0.6423344612121582,2.945917844772339,1,2.0,0.15729920705028105,349678.61760994955,0.0,10000,2
Observed-sales forecasting,Non-overlapping 7-day targets,2024-06-11; 2024-06-18,3.5319666862487793,2.1044020652770996,0.24191933870315552,0.2713743196734507,-0.1752954125404358,1.524855375289917,3.186000347137451,1,2.0,0.15729920705028105,1091235.3571837537,0.0,10000,2
Recovered-demand forecasting,Non-overlapping 7-day targets,2024-06-11; 2024-06-18,3.3906338214874268,1.754393219947815,0.20168279111385345,0.21304415228345325,-0.0716400071978569,0.6231802701950073,3.333040714263916,1,2.0,0.15729920705028105,7545801.5470429035,0.0,10000,2
Recovered seasonal-ML hybrid,Non-overlapping 7-day targets,2024-06-11; 2024-06-18,3.0563862323760986,1.7000616788864136,0.19543692469596863,0.21247832632811134,-0.06946299970149994,0.6042429804801941,2.996211528778076,1,2.0,0.15729920705028105,2546713.2428923324,0.0,10000,2
