Scenario,Cap value,Recovered demand,Recovered lost demand,Recovered lift over observed,Share of original recovered lost demand
Cap lost-demand at q50,0.015062001533806324,505962.9375,23266.0546875,0.04820011183619499,0.355926513671875
Cap lost-demand at q75,0.03688057977706194,523780.625,41084.0234375,0.08511346578598022,0.6285076141357422
Cap lost-demand at q90,0.06627679467201233,534270.1875,51572.8828125,0.10684315860271454,0.7889672517776489
Cap lost-demand at q100,2.75076961517334,548064.0625,65367.58203125,0.1354215294122696,1.0
